date,followers,engagement_rate,posts,video_views
2025-10-01,1100000,4.39,4,873441
2025-10-02,1101420,3.59,6,568512
2025-10-03,1102739,4.08,3,1198792
2025-10-04,1103056,3.65,5,476076
2025-10-05,1104365,4.02,3,519724
2025-10-06,1104495,6.05,6,1199187
2025-10-07,1103328,4.05,6,881273
2025-10-08,1105846,7.63,5,1136501
2025-10-09,1110422,5.49,3,614470
2025-10-10,1104541,5.18,6,933025
2025-10-11,1108334,4.14,4,1036421
2025-10-12,1109879,5.7,2,978758
2025-10-13,1112448,4.42,2,1053753
2025-10-14,1118458,5.12,2,350861
2025-10-15,1111848,7.56,3,638041
2025-10-16,1112704,4.9,5,512977
2025-10-17,1119800,6.15,6,951406
2025-10-18,1116187,4.3,4,1155009
2025-10-19,1113042,4.97,4,1021001
2025-10-20,1118096,6.77,3,309078
2025-10-21,1112817,4.37,2,624912
2025-10-22,1114204,6.81,3,875335
2025-10-23,1121964,5.71,5,1158058
2025-10-24,1121135,4.44,5,1144092
2025-10-25,1133956,5.63,6,1059746
2025-10-26,1121559,5.97,6,695141
2025-10-27,1128095,5.62,5,515048
2025-10-28,1130571,3.43,5,1060581
2025-10-29,1114366,4.27,5,942120
2025-10-30,1133742,4.75,3,949438
2025-10-31,1120341,4.93,5,457087
2025-11-01,1145293,5.62,4,333320
2025-11-02,1120757,5.18,2,627025
2025-11-03,1130182,3.66,5,915115
2025-11-04,1119901,5.38,2,813287
2025-11-05,1152390,5.61,3,664359
2025-11-06,1136079,5.56,2,559931
2025-11-07,1140529,6.08,3,706845
2025-11-08,1121548,5.83,4,1147982
2025-11-09,1148748,5.46,3,849114
2025-11-10,1128396,4.93,3,400734
2025-11-11,1157320,3.34,6,457702
2025-11-12,1129615,5.43,5,1054122
2025-11-13,1129699,5.21,5,477235
2025-11-14,1123608,5.27,4,398511
2025-11-15,1143743,3.72,4,573797
2025-11-16,1148982,3.92,5,983321
2025-11-17,1126588,6.05,6,906229
2025-11-18,1161225,4.96,5,1029497
2025-11-19,1146711,5.68,6,1120094
2025-11-20,1151219,5.03,4,398818
2025-11-21,1147978,5.03,2,452360
2025-11-22,1146839,5.94,4,1077915
2025-11-23,1156160,4.48,4,919369
2025-11-24,1135382,5.1,3,861165
2025-11-25,1137506,4.54,3,673706
2025-11-26,1176259,4.57,3,511957
2025-11-27,1182428,4.69,3,372715
2025-11-28,1150651,5.22,6,441398
2025-11-29,1145473,4.52,5,934379
2025-11-30,1168639,6.26,2,819052
2025-12-01,1155432,4.11,4,432632
2025-12-02,1132573,4.81,6,1165580
2025-12-03,1141337,4.56,2,383186
2025-12-04,1177822,6.45,6,987250
2025-12-05,1175330,5.2,6,451094
2025-12-06,1134788,6.03,4,894604
2025-12-07,1148372,3.51,5,328380
2025-12-08,1149713,5.27,3,934486
2025-12-09,1180860,5.89,5,564500
2025-12-10,1136379,5.08,4,370326
2025-12-11,1142891,6.07,4,1178879
2025-12-12,1193593,4.48,4,939282
2025-12-13,1149533,6.41,2,520971
2025-12-14,1185303,7.3,5,1106481
2025-12-15,1155363,4.64,5,768933
2025-12-16,1145557,4.55,6,1191793
2025-12-17,1157224,6.45,6,1102514
2025-12-18,1195336,6.58,6,1087093
2025-12-19,1207100,4.48,4,468484
2025-12-20,1206417,4.58,5,1089352
2025-12-21,1172671,4.72,4,784410
2025-12-22,1195782,3.66,2,1069666
2025-12-23,1158513,4.08,6,641705
2025-12-24,1166624,4.0,4,1095378
2025-12-25,1218688,4.23,4,525314
2025-12-26,1144118,4.97,2,738716
2025-12-27,1150939,5.23,3,1059900
2025-12-28,1162293,6.55,5,1102741
2025-12-29,1146861,4.0,3,879518
2025-12-30,1161329,5.98,6,1198254
2025-12-31,1198556,4.79,4,791872
2026-01-01,1184771,4.95,2,816998
