game_id,date,opponent,attendance,revenue
101,2025-10-02,Hawks,16454,1136343.1
102,2025-10-03,Cavs,17624,1444440.87
103,2025-10-04,Heat,18772,1605667.3
104,2025-10-06,Cavs,16710,1339185.19
105,2025-10-07,Pistons,18190,1533160.51
106,2025-10-09,Nets,16916,1404022.66
107,2025-10-11,Knicks,18875,1217269.87
108,2025-10-12,Lakers,18652,1356342.56
109,2025-10-13,Knicks,17496,1130058.14
110,2025-10-15,Nets,17440,1169475.26
111,2025-10-16,Pistons,16304,1403412.27
112,2025-10-17,Lakers,16735,1241515.41
113,2025-10-18,Bulls,18338,1394801.91
114,2025-10-19,Bulls,17963,1173942.75
115,2025-10-21,Cavs,18149,1258962.62
116,2025-10-22,Nets,18009,1204935.1
117,2025-10-23,Cavs,18914,1251834.15
118,2025-10-24,Pistons,18889,1494853.24
119,2025-10-25,76ers,16961,1148370.21
120,2025-10-26,Heat,18989,1499380.26
121,2025-10-27,Bucks,17026,1051417.45
122,2025-10-29,76ers,18132,1165039.6
123,2025-10-30,Heat,18375,1253840.32
124,2025-11-01,Lakers,18863,1469642.88
125,2025-11-02,Cavs,17473,1402649.22
126,2025-11-03,Lakers,18501,1355781.2
127,2025-11-04,Pistons,17947,1316838.29
128,2025-11-05,Pacers,18676,1526492.3
129,2025-11-06,Pacers,17177,1038772.77
130,2025-11-07,Pacers,16664,1170357.73
131,2025-11-08,Pistons,16011,1353909.56
132,2025-11-09,Lakers,17156,1339824.97
133,2025-11-10,Heat,16303,1143114.42
134,2025-11-11,Pistons,17763,1548325.11
135,2025-11-13,Pacers,18830,1566254.58
136,2025-11-15,Nets,16042,1090003.58
137,2025-11-17,Pistons,16943,1344574.37
138,2025-11-18,Magic,18390,1432075.68
139,2025-11-19,Heat,17349,1249746.27
140,2025-11-20,Pacers,18545,1316856.01
141,2025-11-21,Raptors,18411,1294418.76
142,2025-11-22,Bulls,16890,1326112.84
143,2025-11-23,Bulls,18474,1353632.43
144,2025-11-24,76ers,17004,1444590.01
145,2025-11-25,Bulls,16020,1283011.02
146,2025-11-27,Heat,16406,1018778.94
147,2025-11-28,Hawks,18666,1478441.4
148,2025-11-29,Cavs,17014,1159239.07
149,2025-11-30,Heat,16335,1270607.52
150,2025-12-01,Magic,17838,1434245.8
151,2025-12-02,Heat,17147,1147560.84
152,2025-12-04,Pistons,18446,1359576.44
153,2025-12-06,Bucks,18840,1237971.61
154,2025-12-07,Cavs,17827,1097611.35
155,2025-12-08,Raptors,16714,1192615.65
156,2025-12-10,Bulls,16050,1137757.67
157,2025-12-11,Cavs,16323,1466856.84
158,2025-12-12,Bulls,16788,1232080.9
159,2025-12-13,76ers,16140,1129914.38
160,2025-12-14,Cavs,16469,1274935.29
161,2025-12-16,Pacers,16786,1051861.48
162,2025-12-17,Bulls,17825,1583750.75
163,2025-12-18,Raptors,17357,1372050.05
164,2025-12-20,Pacers,17916,1480670.23
165,2025-12-21,Knicks,16963,1104534.52
166,2025-12-22,Lakers,16372,1183439.14
167,2025-12-24,Lakers,18541,1347572.37
168,2025-12-25,Raptors,17692,1497701.99
169,2025-12-26,Bucks,18798,1128577.41
170,2025-12-27,Knicks,17179,1185790.67
171,2025-12-29,76ers,18338,1640097.38
172,2025-12-30,Raptors,17671,1312011.6
173,2025-12-31,Pacers,16105,1151117.57
174,2026-01-03,Lakers,17443,1109285.32
175,2026-01-04,Pistons,18717,1670023.18
176,2026-01-05,Lakers,17681,1071482.58
177,2026-01-06,Lakers,16001,1313928.62
178,2026-01-07,Pacers,18636,1547868.78
179,2026-01-08,Nets,18691,1258085.63
180,2026-01-09,Raptors,18137,1453621.66
181,2026-01-10,Heat,16349,1026518.96
182,2026-01-11,76ers,17286,1170459.57
183,2026-01-12,Lakers,17062,1427015.51
184,2026-01-14,Pistons,18956,1629089.74
185,2026-01-15,Bulls,18206,1424703.11
186,2026-01-16,Raptors,18359,1380691.4
187,2026-01-17,Magic,16444,1065227.86
188,2026-01-18,Pacers,18345,1135432.06
189,2026-01-19,Nets,16951,1076888.06
190,2026-01-20,Raptors,16035,1071470.23
191,2026-01-21,76ers,17107,1201770.77
192,2026-01-22,Pistons,17475,1248191.82
193,2026-01-23,Nets,17798,1252795.05
194,2026-01-24,76ers,17845,1198678.27
195,2026-01-25,Raptors,17408,1310678.39
196,2026-01-27,Heat,17195,1457423.84
197,2026-01-28,Magic,17399,1189936.86
198,2026-01-29,76ers,17708,1563113.68
199,2026-01-30,Nets,17385,1498588.74
200,2026-02-01,Nets,18606,1206653.55
201,2026-02-02,76ers,18938,1582994.82
202,2026-02-03,Hawks,18188,1404797.86
203,2026-02-04,Raptors,18934,1457866.14
204,2026-02-05,Hawks,17300,1240951.19
205,2026-02-08,Bucks,18773,1408624.36
206,2026-02-10,Raptors,17243,1240036.61
207,2026-02-11,76ers,16520,1258691.49
208,2026-02-12,Knicks,17806,1403798.36
209,2026-02-13,Pistons,16009,1284387.89
210,2026-02-14,76ers,16983,1290273.84
211,2026-02-16,Hawks,18425,1504266.05
212,2026-02-17,Heat,17656,1134192.16
213,2026-02-18,Pistons,17660,1171908.32
214,2026-02-20,76ers,18729,1583762.64
215,2026-02-21,76ers,18631,1298130.56
216,2026-02-23,Heat,18199,1104439.34
217,2026-02-24,76ers,16719,1080277.03
218,2026-02-25,Pistons,17072,1138846.37
219,2026-02-26,Lakers,16858,1495636.48
220,2026-02-27,Knicks,17316,1336643.56
